,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Nicklas Bäckström,WSH,30,F,81,21,50,71,46,5,19:39,15:15,3:28,0:54,14,7,0,4,1,31,19,0,8,2,45,26,0,12,3,36.6%,0.747,1.778,2.524,0.684,1.515,2.2,1.493,4.054,5.547,0.259,0.617,0.877,165,12.7%,37,51,702,669,51.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Joshua Bailey,NYI,28,F,76,18,53,71,17,-20,17:53,14:36,3:00,0:15,13,5,0,3,1,27,26,0,3,1,40,31,0,6,2,43.7%,0.767,2.26,3.027,0.678,1.407,2.084,1.303,6.774,8.076,0.237,0.697,0.934,151,11.9%,12,33,11,39,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Patrik Laine,WPG,19,F,82,44,26,70,24,8,16:28,13:27,3:00,0:00,24,20,0,8,0,15,11,0,4,0,39,31,0,12,0,44.3%,1.932,1.142,3.073,1.264,0.79,2.055,4.917,2.703,7.62,0.537,0.317,0.854,241,18.3%,74,43,11,32,25.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Brayden Schenn,STL,26,F,82,28,42,70,56,10,19:43,15:58,3:12,0:32,20,8,0,8,2,31,11,0,10,2,51,19,0,18,4,27.1%,0.984,1.475,2.459,0.878,1.361,2.239,1.827,2.51,4.337,0.342,0.512,0.854,210,13.3%,154,37,660,714,48.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Leon Draisaitl,EDM,22,F,78,25,45,70,30,-7,19:17,15:27,2:49,1:00,16,6,3,1,1,39,5,1,11,4,55,11,4,12,5,15.7%,1.038,1.869,2.908,0.812,1.98,2.792,1.633,1.361,2.995,0.321,0.577,0.897,194,12.9%,40,24,672,526,56.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rickard Rakell,ANA,24,F,77,34,35,69,14,6,19:25,16:34,2:43,0:06,26,8,0,3,1,25,10,0,9,1,51,18,0,12,2,26.1%,1.431,1.473,2.903,1.216,1.169,2.384,2.282,2.853,5.134,0.442,0.455,0.896,230,14.8%,115,30,105,121,46.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Jonathan Huberdeau,FLA,24,F,82,27,42,69,32,-2,19:12,15:42,3:23,0:05,20,7,0,4,0,30,12,0,7,1,50,19,0,11,1,27.5%,1.067,1.66,2.726,0.966,1.449,2.415,1.506,2.581,4.087,0.329,0.512,0.842,204,13.2%,41,42,21,23,47.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mitchell Marner,TOR,20,F,82,22,47,69,26,-1,16:23,14:09,2:11,0:02,14,8,0,2,0,28,19,0,7,1,42,27,0,9,1,39.1%,0.966,2.064,3.029,0.737,1.475,2.213,2.67,6.339,9.01,0.268,0.573,0.842,194,11.3%,31,25,50,45,52.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,John Carlson,WSH,27,D,82,15,53,68,32,0,24:47,18:29,3:40,2:37,11,4,0,4,1,25,28,0,12,3,36,32,0,16,4,47.1%,0.461,1.629,2.09,0.434,0.988,1.422,0.791,5.532,6.321,0.183,0.646,0.829,237,6.3%,47,146,0,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mikael Granlund,MIN,25,F,77,21,46,67,18,13,18:46,14:21,2:29,1:54,13,7,1,2,0,32,12,2,10,0,45,19,3,12,0,28.4%,0.884,1.936,2.819,0.729,1.795,2.525,2.193,3.758,5.953,0.273,0.597,0.87,193,10.9%,47,45,69,56,55.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Brent Burns,SJS,32,D,82,12,55,67,46,-16,25:14,20:03,3:40,1:30,7,5,0,2,1,32,22,1,3,0,39,27,1,5,1,40.3%,0.369,1.69,2.059,0.246,1.124,1.37,0.988,4.346,5.335,0.146,0.671,0.817,332,3.6%,79,136,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,John Klingberg,DAL,25,D,82,8,59,67,26,10,24:04,19:18,3:38,1:07,7,1,0,3,0,37,22,0,12,3,44,23,0,15,3,34.3%,0.246,1.813,2.059,0.277,1.462,1.739,0.202,4.443,4.645,0.098,0.72,0.817,204,3.9%,44,109,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Vladimir Tarasenko,STL,26,F,80,33,33,66,17,15,19:03,15:31,3:24,0:08,27,6,0,5,2,23,10,0,4,0,50,16,0,9,2,24.2%,1.337,1.337,2.673,1.337,1.139,2.475,1.323,2.205,3.528,0.413,0.413,0.825,306,10.8%,89,37,1,3,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Brayden Point,TBL,21,F,82,32,34,66,24,18,19:38,15:18,2:19,2:00,24,5,3,12,4,26,6,2,3,0,50,11,5,15,4,16.7%,1.124,1.194,2.318,1.159,1.256,2.415,1.581,1.897,3.476,0.39,0.415,0.805,217,14.8%,26,57,557,617,47.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Joe Pavelski,SJS,33,F,82,22,44,66,41,0,19:15,15:46,3:11,0:17,15,7,0,1,0,28,16,0,7,2,43,23,0,8,2,34.8%,0.869,1.739,2.608,0.724,1.352,2.077,1.599,3.652,5.251,0.268,0.537,0.805,224,9.8%,93,70,500,411,54.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,David Perron,VGK,29,F,70,16,50,66,50,1,17:47,15:03,2:31,0:12,15,1,0,4,3,33,17,0,10,1,48,18,0,14,4,27.3%,0.741,2.314,3.055,0.849,1.867,2.715,0.34,5.771,6.109,0.229,0.714,0.943,125,12.8%,118,20,96,142,40.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sebastian Aho,CAR,20,F,78,29,36,65,24,4,17:55,15:12,2:40,0:02,21,8,0,4,0,28,8,0,8,1,49,16,0,12,1,24.6%,1.205,1.495,2.7,1.066,1.422,2.488,2.29,2.29,4.578,0.372,0.462,0.833,200,14.5%,65,17,78,94,45.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Evgeny Dadonov,FLA,28,F,74,28,37,65,8,10,18:41,15:22,3:19,0:00,22,6,0,6,0,30,7,0,9,0,52,13,0,15,0,20.0%,1.226,1.62,2.846,1.177,1.605,2.783,1.46,1.703,3.163,0.378,0.5,0.878,188,14.9%,27,33,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Clayton Keller,ARI,19,F,82,23,42,65,24,-7,18:05,14:55,3:01,0:08,17,6,0,3,2,27,14,1,10,1,44,20,1,13,3,30.8%,0.909,1.66,2.568,0.821,1.304,2.125,1.449,3.38,4.829,0.281,0.512,0.793,212,10.9%,7,28,37,41,47.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
